date	n_trips
2018-03-01
2018-03-02	326944
2018-03-03	316823
2018-03-04	286326
2018-03-05	290631
2018-03-06
2018-03-07	233278
2018-03-08	326640
2018-03-09	348424
2018-03-10	342083
2018-03-11
2018-03-12	293843
2018-03-13	306557
2018-03-14	336119
2018-03-15	348198
2018-03-16	349840
2018-03-17	325099
2018-03-18	278789
2018-03-19	271630
2018-03-20	313025
2018-03-21	183629
2018-03-22	300702
2018-03-23	325852
2018-03-24	310630
2018-03-25	275756
2018-03-26	280093
2018-03-27	298685
2018-03-28
2018-03-29	325600
2018-03-30	307559
2018-03-31	285252
2018-05-01	305388
2018-05-02	321940
2018-05-03	334832
2018-05-04	333124
2018-05-05	333746
2018-05-06	280027
2018-05-07	284376
2018-05-08	309713
2018-05-09	316850
2018-05-10
2018-05-11	324657
2018-05-12	321304
2018-05-13	281192
2018-05-14	294041
2018-05-15	309021
2018-05-16	320011
2018-05-17	327502
2018-05-18	331926
2018-05-19
2018-05-20	267278
2018-05-21	278706
2018-05-22	297516
2018-05-23	300095
2018-05-24	305096
2018-05-25	279799
2018-05-26	236359
2018-05-27	
2018-05-28	187561
2018-05-29	275451
2018-05-30	301164
2018-05-31	315499
2018-07-01	235560
2018-07-02	242071
2018-07-03	246399
2018-07-04	176652
2018-07-05	216983
2018-07-06	218518
2018-07-07	208044
2018-07-08	199582
2018-07-09	242763
2018-07-10	276324
2018-07-11	287461
2018-07-12	287873
2018-07-13	277145
2018-07-14	259432
2018-07-15	227939
2018-07-16	267644
2018-07-17	278105
2018-07-18	290528
2018-07-19	277229
2018-07-20	271202
2018-07-21	259461
2018-07-22	217391
2018-07-23	252042
2018-07-24	279679
2018-07-25	286514
2018-07-26	290120
2018-07-27	281042
2018-07-28	251928
2018-07-29	230348
2018-07-30	245302
2018-07-31	267950
2018-11-01	312949
2018-11-02	306457
2018-11-03	298022
2018-11-04	254412
2018-11-05	271126
2018-11-06	277356
2018-11-07	290430
2018-11-08	300449
2018-11-09	297610
2018-11-10	311333
2018-11-11	257690
2018-11-12	260711
2018-11-13	287008
2018-11-14	300236
2018-11-15	232161
2018-11-16	301024
2018-11-17	305509
2018-11-18	256533
2018-11-19	256048
2018-11-20	278894
2018-11-21	260395
2018-11-22	174342
2018-11-23	195840
2018-11-24	227337
2018-11-25	206423
2018-11-26	255555
2018-11-27	280456
2018-11-28	283446
2018-11-29	298766
2018-11-30	306222
2018-06-01	320529
2018-06-02	308393
2018-06-03	265244
2018-06-04	279353
2018-06-05	298140
2018-06-06	315354
2018-06-07	319315
2018-06-08	315660
2018-06-09	293934
2018-06-10	249740
2018-06-11	278488
2018-06-12	295377
2018-06-13	312651
2018-06-14	316168
2018-06-15	281883
2018-06-16	275862
2018-06-17	247840
2018-06-18	281485
2018-06-19	298528
2018-06-20	307880
2018-06-21	309069
2018-06-22	311362
2018-06-23	273667
2018-06-24	243786
2018-06-25	267868
2018-06-26	287191
2018-06-27	297916
2018-06-28	302796
2018-06-29	285426
2018-06-30	272402
2018-12-01	309251
2018-12-02	262424
2018-12-03	267743
2018-12-04	290845
2018-12-05	298973
2018-12-06	307098
2018-12-07	319307
2018-12-08	307739
2018-12-09	262093
2018-12-10	275248
2018-12-11	286669
2018-12-12	301871
2018-12-13	308411
2018-12-14	319948
2018-12-15	305622
2018-12-16	278317
2018-12-17	274508
2018-12-18	302766
2018-12-19	304915
2018-12-20	305992
2018-12-21	290314
2018-12-22	250725
2018-12-23	197216
2018-12-24	185895
2018-12-25	125239
2018-12-26	184319
2018-12-27	212529
2018-12-28	217165
2018-12-29	215593
2018-12-30	194111
2018-12-31	209466
2018-01-01	237118
2018-01-02	238152
2018-01-03	266992
2018-01-04	122222
2018-01-05	265212
2018-01-06	281260
2018-01-07	237393
2018-01-08	259792
2018-01-09	284662
2018-01-10	290362
2018-01-11	304982
2018-01-12	317639
2018-01-13	321879
2018-01-14	290953
2018-01-15	246888
2018-01-16	295727
2018-01-17	305009
2018-01-18	330715
2018-01-19	325598
2018-01-20	294520
2018-01-21	252191
2018-01-22	261653
2018-01-23	287525
2018-01-24	315567
2018-01-25	331893
2018-01-26	335361
2018-01-27	309969
2018-01-28	259807
2018-01-29	266607
2018-01-30	302841
2018-01-31	319043
2018-10-01	256382
2018-10-02	281665
2018-10-03	297596
2018-10-04	306198
2018-10-05	293700
2018-10-06	285334
2018-10-07	246569
2018-10-08	232949
2018-10-09	281421
2018-10-10	295692
2018-10-11	292112
2018-10-12	303930
2018-10-13	298023
2018-10-14	255248
2018-10-15	263135
2018-10-16	294453
2018-10-17	300783
2018-10-18	313764
2018-10-19	304568
2018-10-20	292869
2018-10-21	271726
2018-10-22	268980
2018-10-23	283178
2018-10-24	295116
2018-10-25	311126
2018-10-26	311204
2018-10-27	302815
2018-10-28	262616
2018-10-29	263731
2018-10-30	280851
2018-10-31	273002
2018-09-01	208140
2018-09-02	191187
2018-09-03	189402
2018-09-04	266749
2018-09-05	292214
2018-09-06	301927
2018-09-07	294061
2018-09-08	280179
2018-09-09	256915
2018-09-10	252581
2018-09-11	265878
2018-09-12	291498
2018-09-13	300997
2018-09-14	301817
2018-09-15	287215
2018-09-16	257274
2018-09-17	267578
2018-09-18	268898
2018-09-19	268655
2018-09-20	298630
2018-09-21	297866
2018-09-22	284812
2018-09-23	243286
2018-09-24	235299
2018-09-25	251618
2018-09-26	264691
2018-09-27	281069
2018-09-28	294592
2018-09-29	289915
2018-09-30	254722
2018-04-01	244394
2018-04-02	258930
2018-04-03	305554
2018-04-04	310941
2018-04-05	332195
2018-04-06	326443
2018-04-07	321219
2018-04-08	279660
2018-04-09	285025
2018-04-10	308094
2018-04-11	320829
2018-04-12	327104
2018-04-13	333091
2018-04-14	347332
2018-04-15	300236
2018-04-16	281191
2018-04-17	321839
2018-04-18	320981
2018-04-19	348981
2018-04-20	347009
2018-04-21	319168
2018-04-22	277623
2018-04-23	285483
2018-04-24	309584
2018-04-25	325631
2018-04-26	331170
2018-04-27	332721
2018-04-28	324822
2018-04-29	281427
2018-04-30	296350
2018-08-01	286941
2018-08-02	286187
2018-08-03	268389
2018-08-04	244322
2018-08-05	227439
2018-08-06	252930
2018-08-07	282378
2018-08-08	290063
2018-08-09	286988
2018-08-10	273201
2018-08-11	232106
2018-08-12	211360
2018-08-13	240526
2018-08-14	261721
2018-08-15	276436
2018-08-16	277677
2018-08-17	272975
2018-08-18	233149
2018-08-19	204870
2018-08-20	224229
2018-08-21	239778
2018-08-22	259746
2018-08-23	262728
2018-08-24	251411
2018-08-25	230032
2018-08-26	211784
2018-08-27	226870
2018-08-28	260303
2018-08-29	269110
2018-08-30	261239
2018-08-31	241807
2018-02-01	321043
2018-02-02	349367
2018-02-03	316598
2018-02-04	265824
2018-02-05	286197
2018-02-06	303040
2018-02-07	315745
2018-02-08	338939
2018-02-09	337384
2018-02-10	322013
2018-02-11	261619
2018-02-12	287888
2018-02-13	317895
2018-02-14	321593
2018-02-15	322857
2018-02-16	322030
2018-02-17	305440
2018-02-18	253403
2018-02-19	241819
2018-02-20	268383
2018-02-21	297486
2018-02-22	328851
2018-02-23	328744
2018-02-24	312893
2018-02-25	269527
2018-02-26	278570
2018-02-27	301618
2018-02-28	314604
